qdot,S_q,Suu_q,Sud_q,Sx_q,Sc_q,q,D_q,beta,theta,M
1,0.9646938953064134,0.9772922385504532,-0.0125983432440397,-0.0174741746608052,-0.0052335867887415,0.3093667726280136,6,5.430107179652065,10.0,38
2,0.9854187595963524,0.9886158317242976,-0.0031970721279453,-0.0121896610582902,0.0008054927825878,0.4375106855981304,12,5.430107179652065,10.0,38
3,0.9914912642708892,0.9925263514407124,-0.001035087169823,-0.0087260783664159,0.0012524298071281,0.5358389683653282,8,5.430107179652065,10.0,38
4,0.9942175516507202,0.9946244147287032,-0.000406863077983,-0.0063298445297618,0.000954259258465,0.6187335452560272,6,5.430107179652065,10.0,38
5,0.9972628380568578,0.9973127692820762,-4.9931225218490654e-05,-0.0028803321355228,0.000193101417599,0.6917651335759597,24,5.430107179652065,10.0,38
6,0.9967154334807992,0.9967663115057942,-5.087802499508606e-05,-0.0033184497011558,8.476120695010677e-05,0.7577907363102548,16,5.430107179652065,10.0,38
8,0.99777584451905,0.9977849843962368,-9.13987718670425e-06,-0.0022150156037631,0.0,0.8750213711962608,6,5.430107179652065,10.0,38
1,0.7964361754258159,0.9056105027533844,-0.1091743273275685,-0.0558723055090879,-0.0385171917375277,0.3093667726280136,6,54.30107179652066,1.0,38
2,1.0164653564724668,1.0127895570049408,0.0036757994675259,-0.0050628190633166,0.0178523760682575,0.4375106855981304,12,54.30107179652066,1.0,38
3,1.002130789888346,0.9995010303953652,0.0026297594929809,-0.0005641642881761,6.51946835412661e-05,0.5358389683653282,8,54.30107179652066,1.0,38
4,1.00490774434603,1.0004668965776935,0.0044408477683362,-0.0012682379263179,0.0017351345040116,0.6187335452560272,6,54.30107179652066,1.0,38
5,1.000500575078433,0.9997985854828916,0.0007019895955415,-0.0004760752180881,0.0002746607009797,0.6917651335759597,24,54.30107179652066,1.0,38
6,0.999998987596639,0.9999013811119948,9.760648464414644e-05,-5.801990614035423e-05,-4.059898186484217e-05,0.7577907363102548,16,54.30107179652066,1.0,38
8,0.99998625393615,0.999928880989574,5.73729465760542e-05,-7.111901042608818e-05,0.0,0.8750213711962608,6,54.30107179652066,1.0,38
1,0.8156501788796062,0.9999999991375984,-0.184349820257992,-5.306975169833333e-10,-3.3170417559618054e-10,0.3093667726280136,6,543.0107179652066,0.1,38
2,0.9989497721897812,1.0000000001718694,-0.0010502279820882,0.0,1.7186943818720958e-10,0.4375106855981304,12,543.0107179652066,0.1,38
3,1.0066056208415115,0.999999999981948,0.0066056208595635,0.0,-1.8052051167358067e-11,0.5358389683653282,8,543.0107179652066,0.1,38
4,1.010422140800664,1.0000000000120346,0.0104221407886292,0.0,1.2034700778238707e-11,0.6187335452560272,6,543.0107179652066,0.1,38
5,1.002201873616846,0.9999999999969912,0.0022018736198545,-3.0086751945596777e-12,0.0,0.6917651335759597,24,543.0107179652066,0.1,38
6,1.000366030705765,1.0,0.0003660307057647,0.0,0.0,0.7577907363102548,16,543.0107179652066,0.1,38
8,1.00024402047051,1.0,0.0002440204705098,0.0,0.0,0.8750213711962608,6,543.0107179652066,0.1,38
1,0.9565544292755194,0.9751052716421772,-0.0185508423666577,-0.0148377139869898,-0.0100570143708331,0.3093667726280136,6,5.430107179652065,10.0,54
2,0.987251464389127,0.990849090726324,-0.0035976263371969,-0.0100150507567283,0.0008641414830523,0.4375106855981304,12,5.430107179652065,10.0,54
3,0.9935640046347648,0.9945203789094902,-0.0009563742747254,-0.0069665852807461,0.0014869641902364,0.5358389683653282,8,5.430107179652065,10.0,54
4,0.9951673207919088,0.995741701455978,-0.0005743806640692,-0.0053797185903314,0.0011214200463095,0.6187335452560272,6,5.430107179652065,10.0,54
5,0.9967548906124422,0.9969491640846035,-0.0001942734721613,-0.0037798188067087,0.0007289828913122,0.6917651335759597,24,5.430107179652065,10.0,54
6,0.9977052521620696,0.9977710878375272,-6.58356754577224e-05,-0.002658799782565,0.0004298876200922,0.7577907363102548,24,5.430107179652065,10.0,54
8,0.9986778384342544,0.998696552435644,-1.8714001389614207e-05,-0.0014523348429816,0.0001488872786255,0.8750213711962608,12,5.430107179652065,10.0,54
9,0.99904326390431,0.9990497698776818,-6.505973371913172e-06,-0.0010230890811268,7.285895880858503e-05,0.9281003178840408,24,5.430107179652065,10.0,54
12,0.99920984456975,0.9992112390660718,-1.3944963216356936e-06,-0.0007887609339282,0.0,1.0716779367306564,4,5.430107179652065,10.0,54
1,0.7949029959825435,0.9040033911679834,-0.1091003951854398,-0.0550776335795338,-0.0409189752524825,0.3093667726280136,6,54.30107179652066,1.0,54
2,1.0143947749048108,1.0109606123198005,0.0034341625850102,-0.0052398601159824,0.0162004724357829,0.4375106855981304,12,54.30107179652066,1.0,54
3,1.0039607764728076,1.0031538686083634,0.0008069078644441,-0.0008419583716486,0.0039958269800119,0.5358389683653282,8,54.30107179652066,1.0,54
4,1.004919582011132,1.0005329974174522,0.0043865845936798,-0.0012572400069127,0.0017902374243649,0.6187335452560272,6,54.30107179652066,1.0,54
5,1.0008072354352424,0.999913818177399,0.0008934172578435,-0.0004819175511644,0.0003957357285634,0.6917651335759597,24,54.30107179652066,1.0,54
6,1.0001762305827588,0.9998726319166802,0.0003035986660787,-8.453264937846507e-05,-4.283543394140207e-05,0.7577907363102548,24,54.30107179652066,1.0,54
8,1.000010590998632,0.9999695142487616,4.107674987029011e-05,-3.4538651576570693e-05,4.0529003381831395e-06,0.8750213711962608,12,54.30107179652066,1.0,54
9,1.0000076268722504,0.9999872405077036,2.0386364546758056e-05,-7.838659972535901e-06,-4.920832323888198e-06,0.9281003178840408,24,54.30107179652066,1.0,54
12,1.0000057295812752,0.999998597656668,7.131924607294509e-06,-1.402343331970276e-06,0.0,1.0716779367306564,4,54.30107179652066,1.0,54
1,0.8167687465370012,0.9999999991416691,-0.183231252604668,-5.314363802256891e-10,-3.2689442793427005e-10,0.3093667726280136,6,543.0107179652066,0.1,54
2,1.0012278160954786,1.0000000001543716,0.001227815941107,0.0,1.5437167981534588e-10,0.4375106855981304,12,543.0107179652066,0.1,54
3,0.998762912945832,1.0000000000048497,-0.0012370870590176,0.0,4.8495809692070944e-12,0.5358389683653282,8,543.0107179652066,0.1,54
4,1.0102888225539466,1.0000000000116849,0.0102888225422616,0.0,1.1684960344635494e-11,0.6187335452560272,6,543.0107179652066,0.1,54
5,1.0022346292173592,0.9999999999970788,0.0022346292202803,-2.921240086158873e-12,0.0,0.6917651335759597,24,543.0107179652066,0.1,54
6,1.001384518502607,1.0,0.0013845185026069,0.0,0.0,0.7577907363102548,17,543.0107179652066,0.1,54
8,1.0002090467620344,1.0,0.0002090467620343,0.0,0.0,0.8750213711962608,8,543.0107179652066,0.1,54
9,1.0001381670481293,1.0,0.0001381670481293,0.0,0.0,0.9281003178840408,14,543.0107179652066,0.1,54
12,1.0000295868368838,1.0,2.958683688383795e-05,0.0,0.0,1.0716779367306564,4,543.0107179652066,0.1,54
1,0.9605070701552476,0.9776677362279348,-0.017160666072687,-0.012480665416427,-0.0098515983556382,0.3093667726280136,6,5.430107179652065,10.0,66
2,0.9866990913211424,0.9910597334886696,-0.0043606421675271,-0.0091155476672389,0.0001752811559086,0.4375106855981304,12,5.430107179652065,10.0,66
3,0.9926541518547932,0.994377294522934,-0.0017231426681407,-0.0069063757431043,0.0012836702660383,0.5358389683653282,8,5.430107179652065,10.0,66
4,0.99538257457464,0.9960441796530156,-0.0006616050783754,-0.0052547224358438,0.0012989020888593,0.6187335452560272,6,5.430107179652065,10.0,66
5,0.9968658434279642,0.9971188062136044,-0.00025296278564,-0.0037604889271781,0.0008792951407823,0.6917651335759597,24,5.430107179652065,10.0,66
6,0.997752954847248,0.9978565206773712,-0.0001035658301231,-0.0026984855915246,0.0005550062688957,0.7577907363102548,24,5.430107179652065,10.0,66
8,0.998643937463092,0.9986790979226164,-3.5160459524366653e-05,-0.0015018012501989,0.0001808991728154,0.8750213711962608,12,5.430107179652065,10.0,66
9,0.9992525997469202,0.9992574522381964,-4.852491276224188e-06,-0.0008003530752291,5.780531342555039e-05,0.9281003178840408,30,5.430107179652065,10.0,66
10,0.9993998475534374,0.999403516442187,-3.6688887495824087e-06,-0.0006145494186123,1.806586079933944e-05,0.978303633879958,24,5.430107179652065,10.0,66
