beta,theta,M,Z,U,S,F,TrU,TrT,TrV
0.2749421356785856,1.9749999999999996,38,22.968911879095018,9.493610381620806,5.744335157808825,-11.399277293202887,9.493610381620805,9.553445396860107,-0.0598350152393272
0.2784670348539521,1.9499999999999995,38,22.21604239241392,9.415888455455171,5.722829196901758,-11.135302459847306,9.415888455455203,9.476071395559568,-0.0601829401043172
0.2820834898520554,1.9249999999999996,38,21.475364137587743,9.336339704752351,5.700533710436087,-10.872335795631775,9.336339704752442,9.396877003121324,-0.060537298368944
0.2857951147185298,1.8999999999999997,38,20.747061362858492,9.254913109151756,5.677413569320488,-10.610414452209763,9.254913109151753,9.315811206964426,-0.0608980978127019
0.2896057162481102,1.8749999999999996,38,20.031313594067203,9.17155650696224,5.653431920167543,-10.349577237939918,9.171556506962316,9.232821833177516,-0.0612653262152275
0.2935193070082198,1.8499999999999996,38,19.328295190378096,9.086216622976105,5.628550100819277,-10.089864699202998,9.086216622976105,9.14785557131983,-0.0616389483437462
0.2975401194329899,1.8249999999999995,38,18.638174886410543,8.99883910392961,5.602727552385874,-9.831319205688478,8.998839103929607,9.060858006496284,-0.0620189025666407
0.3016726210917814,1.7999999999999996,38,17.961115321528162,8.909368562331704,5.575921727725035,-9.57398503981241,8.909368562331725,8.971773659381537,-0.0624050970497957
0.3059215312480037,1.7749999999999997,38,17.297272557201726,8.817748629398075,5.5480879962871406,-9.31790849043188,8.81774862939816,8.880546034886033,-0.0627974054878653
0.3102918388372609,1.7499999999999996,38,16.64679558354966,8.723922017832445,5.519179545245775,-9.063137951026176,8.723922017832436,8.787117680150075,-0.0631956623175951
0.3147888220088154,1.7249999999999996,38,16.009825816342854,8.62783059518844,5.489147276821653,-8.809724022516294,8.627830595188454,8.691430252543535,-0.0635996573550664
0.3194180693912979,1.6999999999999995,38,15.386496585991276,8.529415468519472,5.45793970169134,-8.557719620902093,8.529415468519538,8.593424598312554,-0.0640091297930269
0.3241855032628099,1.6749999999999996,38,14.776932620243304,8.42861708097821,5.4255028283451425,-8.30718008989901,8.428617080978267,8.493040842466797,-0.0644237614885254
0.3290974048273979,1.6499999999999997,38,14.181249522587567,8.325375320956315,5.391780048221756,-8.058163318765228,8.325375320956343,8.390218490421248,-0.0648431694648248
0.3341604418247425,1.6249999999999998,38,13.599553248609508,8.21962964425603,5.356712016395852,-7.810729865518896,8.219629644256013,8.284896541801162,-0.0652668975451702
0.3393816987282541,1.5999999999999996,38,13.031939582832326,8.111319209653026,5.320236527525571,-7.564943085755928,8.111319209653123,8.177013616682668,-0.0656944070295823
0.3447687098191788,1.5749999999999995,38,12.478493618876731,8.000383028041423,5.282288386677464,-7.320869267295562,8.000383028041535,8.066508094361062,-0.0661250663195781
0.3503294954614236,1.5499999999999998,38,11.939289246082684,7.886760125143453,5.242799274530673,-7.078577770900135,7.886760125143514,7.953318264533381,-0.0665581393898695
0.3560726019443977,1.5249999999999997,38,11.41438864606885,7.770389717516606,5.2016976063176665,-6.838141177342676,7.770389717516705,7.837382490517759,-0.0669927730010318
0.3620071453101377,1.4999999999999998,38,10.903841803037109,7.651211401300995,5.1589083836796,-6.5996354411276945,7.651211401301051,7.718639383844382,-0.0674279825432797
0.3681428596374282,1.4749999999999996,38,10.407686031988252,7.529165352822813,5.114353038399175,-6.363140051215533,7.529165352822836,7.597027989222355,-0.0678626363995114
0.3744901503208321,1.4499999999999995,38,9.92594552936142,7.40419253981639,5.06794926671778,-6.12873819915226,7.404192539816457,7.472487978532909,-0.0682954387164629
0.3810601529580397,1.4249999999999998,38,9.4586309509697,7.276234941664304,5.019610852649459,-5.896516955074139,7.276234941664371,7.344959852141589,-0.0687249104771961
0.3878647985465762,1.3999999999999997,38,9.005739022455272,7.145235776709879,4.969247478374691,-5.666567452136026,7.14523577670998,7.214385145487632,-0.069149368777635
0.3949168857928775,1.3749999999999998,38,8.56725218783022,7.011139734411863,4.916764519443984,-5.438985080009683,7.011139734411987,7.0807066386381345,-0.069566904226149
0.4022301614557086,1.3499999999999996,38,8.143138301989179,6.873893209948703,4.8620628221645745,-5.213869688209689,6.873893209948757,6.943868566359324,-0.0699753564105301
0.4098194097850616,1.3249999999999995,38,7.73335037338242,6.733444538927599,4.805038460220105,-4.99132580013518,6.73344453892766,6.803816826341716,-0.0703722874140162
0.4177005522809282,1.2999999999999998,38,7.337826363288377,6.589744230233141,4.745582467336231,-4.771462838855308,6.5897442302332285,6.660499183648021,-0.0707549534147624
0.4258907591883973,1.2749999999999997,38,6.956489048334857,6.442745195927223,4.683580542742616,-4.554395365816649,6.442745195927297,6.5138654704033945,-0.0711202744760814
0.4344085743721652,1.2499999999999998,38,6.589245953056114,6.2924029787075,4.618912726418117,-4.3402433337960264,6.292402978707688,6.363867781441051,-0.0714648027334216
0.4432740554818012,1.225,38,6.2359893593278555,6.138675980035334,4.551453041823335,-4.129132355546799,6.138675980035431,6.21046066935112,-0.0717846893156793
0.4525089316376721,1.1999999999999995,38,5.896596399471128,5.98152569603138,4.481069105280422,-3.9211939896619263,5.981525696031479,6.05360134654332,-0.0720756505118239
0.4621367812469843,1.1749999999999998,38,5.570929239639295,5.820916974082768,4.407621703711953,-3.716566045162881,5.820916974082861,5.893249908002641,-0.0723329339197889
0.472183233013223,1.15,38,5.258835359763861,5.656818311402302,4.330964346586588,-3.515392906155488,5.656818311402468,5.7293695970087475,-0.0725512856062779
0.4826761937468503,1.1249999999999998,38,4.960147935815452,5.489202228247455,4.2509428042985125,-3.3178258774892218,5.489202228247577,5.561927147926774,-0.0727249196792055
0.4936461072410968,1.1,38,4.674686329384578,5.31804576399729,4.167394654698119,-3.1240235515878574,5.318045763997438,5.3908932561445395,-0.0728474921470903
0.5051262492699596,1.0749999999999995,38,4.402256688570882,5.143331164768904,4.0801488732234095,-2.9341521953223566,5.143331164769038,5.216243246301528,-0.072912081532486
0.5171530647287682,1.0499999999999998,38,4.142652662836884,4.965046857778406,3.9890255214888257,-2.748386153743925,4.965046857778581,5.037958037220021,-0.0729111794414175
0.5297665541123966,1.025,38,3.895656232767257,4.78318884124471,3.89383561603965,-2.566908264382544,4.783188841244895,4.856025536434458,-0.0728366951895616
