beta,theta,M,Z,U,S,F,TrU,TrT,TrV
0.1091478830080819,4.974999999999989,38,150.26865431275314,13.111108691988855,6.443474478487903,-45.92324269356014,13.11110869198887,13.153937903335995,-0.042829211347131
0.1096991349424662,4.9499999999999895,38,149.18695710074542,13.099975162286986,6.442256208123274,-45.62661563081304,13.099975162286958,13.142857169741088,-0.0428820074541837
0.1102559833431893,4.92499999999999,38,148.10310677324964,13.088718068437649,6.441018179928226,-45.33004510996989,13.088718068437643,13.131653462061426,-0.0429353936238205
0.1108185138704505,4.89999999999999,38,147.01712787709917,13.077335392749736,6.439759969771968,-45.03353205039427,13.077335392749664,13.120324772283402,-0.0429893795336957
0.111386813941581,4.874999999999989,38,145.92904576509437,13.065825074468025,6.438481142230639,-44.737077391235175,13.0658250744681,13.108869049535992,-0.0430439750679163
0.1119609727763314,4.84999999999999,38,144.8388866136315,13.05418500864873,6.437181250229514,-44.44068209195521,13.05418500864868,13.097284198971126,-0.0430991903223819
0.1125410814435663,4.82499999999999,38,143.746677440642,13.042413045000783,6.4358598346720015,-44.14434713287488,13.042413045000847,13.085568080611107,-0.0431550356102939
0.1131272329094182,4.79999999999999,38,142.65244612389597,13.030506986691464,6.434516424055218,-43.84807351573608,13.03050698669143,13.073718508159237,-0.0432115214678146
0.1137195220869544,4.77499999999999,38,141.5562214196037,13.018464589115268,6.433150534071103,-43.55186226428164,13.018464589115258,13.061733247775212,-0.0432686586599112
0.1143180458874121,4.74999999999999,38,140.4580329813643,13.0062835586247,6.431761667192793,-43.25571442485387,13.006283558624716,13.04961001681108,-0.0433264581863645
0.1149229032730598,4.724999999999991,38,139.3579113794744,12.993961551221652,6.43034931224569,-42.95963106701401,12.99396155122169,13.037346482509646,-0.0433849312879661
0.1155341953117462,4.69999999999999,38,138.25588812056,12.981496171207988,6.428912943962327,-42.66361328418027,12.98149617120802,13.024940260660872,-0.0434440894529009
0.1161520252331995,4.67499999999999,38,137.1519956675572,12.968884969793848,6.427452022520445,-42.367662194286936,12.968884969793892,13.01238891421723,-0.0435039444233242
0.1167764984871414,4.649999999999991,38,136.046267460051,12.956125443662357,6.425965993063695,-42.07177894046572,12.956125443662348,12.999689951864491,-0.0435645082021365
0.1174077228032881,4.624999999999991,38,134.9387379349686,12.943215033488864,6.424454285204098,-41.77596469174957,12.943215033488851,12.98684082654884,-0.0436257930599714
0.1180458082533059,4.599999999999991,38,133.82944254761676,12.930151122413534,6.42291631250546,-41.48022064379935,12.930151122413486,12.973838933955864,-0.043687811542391
0.1186908673147994,4.57499999999999,38,132.71841779306845,12.916931034465206,6.421351471946872,-41.18454801965405,12.916931034465204,12.960681610942505,-0.0437505764773061
0.1193430149374082,4.549999999999991,38,131.605701227953,12.903552032935025,6.4197591433658765,-40.88894807050918,12.903552032935014,12.94736613391768,-0.0438141009826212
0.1200023686110956,4.5249999999999915,38,130.49133149253808,12.89001131869802,6.418138688879546,-40.593422076516774,12.890011318698004,12.93388971717216,-0.043878398474123
0.1206690484367127,4.499999999999991,38,129.37534833324182,12.87630602848067,6.4164894522835345,-40.29797134761704,12.876306028480672,12.920249511154267,-0.0439434826736038
0.121343177198929,4.474999999999991,38,128.25779262545814,12.862433233072576,6.414810758427261,-40.00259722439492,12.862433233072563,12.906442600689893,-0.0440093676172406
0.1220248804416196,4.449999999999991,38,127.13870639676234,12.848389935480183,6.413101912564649,-39.70730107896721,12.848389935480226,12.89246600314445,-0.0440760676642378
0.1227142865458096,4.424999999999992,38,126.01813285049916,12.834173069020512,6.411362199679402,-39.4120843159012,12.834173069020562,12.878316666526256,-0.0441435975057325
0.1234115268102744,4.3999999999999915,38,124.89611638969768,12.819779495352584,6.409590883783197,-39.11694837316267,12.819779495352552,12.86399146752653,-0.0442119721739817
0.1241167355349045,4.374999999999991,38,123.77270264138645,12.805206002444445,6.407787207186204,-38.82189472309938,12.80520600244446,12.849487209496235,-0.0442812070518367
0.1248300501069442,4.349999999999992,38,122.64793848123249,12.790449302473268,6.405950389738075,-38.52692487345614,12.79044930247329,12.834800620355727,-0.0443513178825117
0.1255516110902214,4.324999999999992,38,121.52187205858228,12.775506029656182,6.404079628038733,-38.23204036842836,12.775506029656118,12.81992835043584,-0.0444223207796596
0.1262815623174901,4.299999999999992,38,120.39455282182053,12.760372738009211,6.402174094616884,-37.93724278975003,12.760372738009227,12.804866970247025,-0.0444942322377648
0.1270200509860135,4.2749999999999915,38,119.26603154411788,12.745045899031762,6.400232937075442,-37.64253375782248,12.745045899031718,12.789612968174607,-0.0445670691428627
0.1277672277565194,4.249999999999992,38,118.13636034950288,12.729521899313797,6.398255277201801,-37.34791493288143,12.729521899313768,12.774162748097334,-0.0446408487835945
0.1285232468556704,4.2249999999999925,38,117.0055927393098,12.713797038062886,6.396240210041846,-37.05338801620767,12.713797038062854,12.758512626925498,-0.0447155888626151
0.1292882661821922,4.199999999999992,38,115.87378361893704,12.69786752454821,6.394186802935473,-36.75895475137916,12.697867524548204,12.742658832056582,-0.0447913075083525
0.1300624474168162,4.174999999999992,38,114.74098932497267,12.681729475458267,6.392094094512422,-36.464616925570375,12.681729475458262,12.72659749874545,-0.0448680232871478
0.1308459561361946,4.149999999999992,38,113.60726765263888,12.665378912169292,6.389961093646157,-36.170376370898,12.665378912169256,12.71032466738507,-0.0449457552157712
0.1316389619309594,4.124999999999993,38,112.47267788355504,12.648811757920802,6.387786778363938,-35.876234965815414,12.648811757920798,12.693836280695187,-0.0450245227743376
